"Carimbo de data/hora","Qual o tipo de combustível que você mais utiliza?","Qual é a média do seu gasto diário com combustível? Responda em R$.","De qual empresa e/ou posto de combustível você mais consome?","Quais os critérios você utiliza para escolher a marca e/ou posto de combustível?","O que poderia ser melhorado no atendimento nos postos de combustível?","Além de combustíveis, na sua opinião, o que não pode faltar em um posto de combustível?","Você utiliza aplicativo de rede de postos de combustível? Se sim, Qual?","Quais vantagens desse aplicativo lhe agradam? Em caso de ter respondido não na pergunta anterior, responda não novamente.","Seu veículo possui algum dispositivo de pagamento automático para pedágio e abastecimento?","Qual forma de pagamento você mais utiliza para pagar o abastecimento?
","O posto no qual você frequenta oferece algum ""brinde"" para você consumir combustível?","Você atualmente está dirigindo profissionalmente como forma de obter renda?","Qual cidade você atua mais dirigindo profissionalmente?","Quais aplicativos você mais utiliza para trabalhar?","Além de dirigir profissionalmente, você possui alguma outra atividade profissional? Se sim, qual?","Qual é o seu sexo?","Qual é a sua idade?","Qual é a sua profissão?"," Qual é a sua cor ou raça?","Qual é o seu grau de escolaridade?","Em qual cidade você reside?","Aproximadamente, qual é a sua renda mensal?  Responda em R$.","Você é pessoa com deficiência? Se sim, qual(is)?","Caso você tenha respondido não na 1ª pergunta, qual o motivo de você não consumir combustível?","Há algo a mais que você gostaria de dizer?"
"2023/05/13 7:27:01 PM GMT-3","Gas Natural(GNV)","80,00","Shell","Proximidade;Promoções e programas de descontos via aplicativo","Pode ser auto atendimento ","Café ","Shell box","Os Descontos","Sim","Crédito","Não","Taxista ","Rio de janeiro ","Não trabalho por aplicativo;Taxirio","","Masculino","42","Taxista ","Branca","Ensino Médio Completo","Rio de janeiro ","7000","","",""
"2023/05/13 8:08:15 PM GMT-3","Gas Natural(GNV)","30,00 reais","BR","Qualidade do combustível","Tempo de espera.","Combustivel","Não ","Não ","","Crédito","Não","Não","","","","Masculino","52 anos","Tec em Radiologia ","Parda","Ensino Médio Completo","Rio de Janeiro 3.oo","3.000","","",""
"2023/05/13 8:13:32 PM GMT-3","Gasolina"," R$20:00 reais por dia ","Br","Proximidade","Ter mais atendente ","Um boa atenção ","Não ","Não ","Não conheço esse sistema","Dinheiro","Não","Não","","","","Masculino","49 anos ","Vigilante ","Branca","Ensino Fundamental Completo","Río de janeiro "," R$1.800","","Eu uso combustível ",""
"2023/05/13 8:32:20 PM GMT-3","Etanol","30 ","Shell","Proximidade","Espaço físico ","Bom atendimento ","Não ","Não ","Não vejo necessidade","Pix","Não","Não","","","","Feminino","49","Administradora ","Parda","Ensino Médio Completo","Rio de Janeiro ","4000","","",""
"2023/05/13 8:52:48 PM GMT-3","Não consumo","Não consumo","Não consumo","Não consumo ","Não consumo ","Banheiros para deficientes ","Não ","Não consumo ","","Não consumo ","Não consumo ","Não","","","","Feminino","39","Técnica de Enfermagem ","Negra","Ensino Superior Completo","Rio de Janeiro ","1.900,00","","Não tenho condições no momento de manter um automóvel ",""
"2023/05/13 10:46:51 PM GMT-3","Gasolina","10 reais","Shell","Proximidade","Os frentistas serem mais simpaticos. Mulheres são as melhores com.outras mulheres.","Limpeza e seguranca ","Nao","Nao","Sim","Dinheiro","Não","Não","","","","Feminino","45","Psicologa","Branca","Pós-Graduação Completo","Rio de Janeiro","","","",""
"2023/05/14 7:45:18 AM GMT-3","Gas Natural(GNV)","50,00","Ipiranga ","Preço;Programa de Fidelidade;Qualidade do combustível","O atendimento ","Bom atendimento ","Sim, Ipiranga ","Desconto em outros produtos ","Não, acho caro","Débito","Sim, lavagem por fora","Sim, motorista de aplicativo","Rio de janeiro ","Uber;99","Motorista particular ","Masculino","51 anos ","Motorista particular ","Negra","Ensino Médio Completo","Rio de janeiro ","5,000.00","","",""
"2023/05/14 10:38:09 AM GMT-3","Gasolina","R$20","Shel","Qualidade do combustível","Atenciosidade ","Educação ","Não ","Não ","Sim","Débito","Não","Não","","","","Feminino","38","Microempreendedora","Parda","Ensino Superior Completo","Rio de Janeiro ","4.000,00","","",""
"2023/05/14 4:12:00 PM GMT-3","Gas Natural(GNV)","Tanque cheio","Sem preferência ","Preço","Nada","Combustível ","Nenhum ","Não ","Não vejo necessidade","Dinheiro","Não","Não","","","","Feminino","58","","Parda","Ensino Médio Completo","Rj","Sou comissionado","Não ","Sem saber o pq","Não "
"2023/05/14 4:55:33 PM GMT-3","Gasolina","50,00","Petrobras","Conhecimento da marca e/ou posto","Os serviços complementares","Produtos para o carro","Não ","Não ","Sim","Débito","Não","Não","","","","Masculino","53","Cirurgião dentista ","Negra","Pós-Graduação Completo","Rio de Janeiro","15 mil","Não ","Não ","Não "
"2023/05/14 6:09:48 PM GMT-3","Gasolina","400","Qualquer um ","Proximidade","Não ","Não ","Não ","Não ","Não vejo necessidade","Débito","Não","Não","","","","Masculino","38","Tec em prótese dentaria ","Branca","Ensino Médio Completo","Rj","Não ","Não ","Não ","Não "
"2023/05/14 7:03:54 PM GMT-3","Gasolina","25,00","BR","Qualidade do combustível","Ser mais rápido ","Loja de conveniência ","Não ","Não ","Sim","Crédito","Não","Não","","","","Masculino","32","Dentista","Branca","Pós-Graduação Completo","Rio de janeiro ","8000","Não ","",""
"2023/05/14 9:56:02 PM GMT-3","Gas Natural(GNV)","80,00","Shell","Atendimento;Qualidade do combustível;Conhecimento da marca e/ou posto","Quadro de funcionários compatíveis a rotatividade do posto ","Cafezinho e água de cortesia ","Nao","Nao","Não vejo necessidade","Dinheiro","Não","Sim, como entregador por aplicativo","Rio de Janeiro ","99;Táxi","Nao","Masculino","40","Taxista ","Branca","Ensino Médio Completo","Rio de Janeiro ","","","",""
"2023/05/15 12:21:11 PM GMT-3","Gasolina","R$ 300 ","Shell ou posto BR ","Atendimento","Além de ter certeza que em todos os postos a gasolina serem originais e qualidade de atendimento deveria melhorar muito. ","Lojas de conveniências e banheiro limpos para trabalhadores que tem seu dia a dia na rua .","Ticket Fleet","Minha vantagem por ser da empresa ","Não vejo necessidade","Aplicativo do posto","Não","Não","","","","Masculino","39","Representante comercial ","Negra","Ensino Médio Completo","Rio de Janeiro ","R$ 3mil","Não ","","Não "
"2023/05/15 2:09:18 PM GMT-3","Etanol","15,00","Shell","Proximidade;Preço","Rapidez ","Conveniência ","Não ","Não utilizo ","Não vejo necessidade","Crédito","Não","Não","","","","Feminino","46","TEC segurança do trabalho ","Parda","Ensino Médio Completo","Duque de caxias ","4,800","Não ","Nenhum","Não "
"2023/05/15 2:11:32 PM GMT-3","Gas Natural(GNV)","R$ 300","ipiranga","Proximidade;Preço;Atendimento;Programa de Fidelidade;Promoções e programas de descontos via aplicativo;Qualidade do combustível;Conhecimento da marca e/ou posto","Nada a melhorar","um bom atendimento","KM de Vantagens Ipiranga","o acúmulo de pontos e depois a troca dos pontos em produtos ou serviços em rede conveniada","Não vejo necessidade","Crédito","Sim, lavagem por fora","Não","","","","Feminino","31","Auxiliar Administrativo","Parda","Ensino Superior Completo","Duque de Caxias","R$1.500,00","","",""
"2023/05/15 2:12:09 PM GMT-3","Gas Natural(GNV)","25,00","FORZA","Atendimento;Qualidade do combustível","QUALIDADE DO PRODUTO","EXCELENCIA NO PRODUTO OFERTADO","NAO","NAO","Sim","Débito","Não","Não","","","","Masculino","43","ADMINISTRADOR","Parda","Ensino Superior Completo","DUQUE DE CAXIAS","2500","NÃO","",""
"2023/05/15 2:12:49 PM GMT-3","Gasolina","30 reais","a mais barata de qualidade","Preço;Qualidade do combustível","auto pagamento e atendimento.","combustível","Sim, waze","Me mostra a localidade e preços","Não vejo necessidade","Crédito","Não","Não","","","","Masculino","38","Aux. de Escritório","Branca","Ensino Superior Completo","Duque de Caxias","2000","Não","","Não"
"2023/05/15 2:14:54 PM GMT-3","Gasolina","500","Shell","Proximidade;Atendimento;Programa de Fidelidade","Nada","Cafézinho","Shell Box","Troca de pontos por milhas","Sim","Aplicativo do posto","Sim, troca de óleo","Sim, motorista de aplicativo","Rio de Janeiro","Uber;99","","Masculino","35","Motorista de Aplicativo","Branca","Pós-Graduação Completo","Petrópolis","3.500,00","","",""
"2023/05/15 2:15:59 PM GMT-3","Gasolina","20","Shell","Proximidade","O cheiro","Borracheiro","Não","Não","Sim","Débito","Não","Mototáxi","Duque de Caxias","Ifood","Não","Masculino","37","Motociclista","Negra","Ensino Médio Completo","Duque de Caxias","2000","Não","",""
"2023/05/15 2:20:00 PM GMT-3","Gas Natural(GNV)","33","Shell","Preço","Cheiro","Óleo","Não","Não","","Débito","Sim, troca de óleo","Não","","","","Masculino","45","Bombeiro","Branca","Ensino Superior Completo","Nilópolis","3500","","",""
"2023/05/15 2:29:54 PM GMT-3","Gasolina","13,33","BR","Proximidade;Preço;Atendimento;Programa de Fidelidade;Qualidade do combustível;Conhecimento da marca e/ou posto","Banheiro para consumidor","conveniências","aditiva","desconto","Sim","Crédito","Prefiro não responder","Não","","","","Masculino","33","Militar ","Negra","Ensino Médio Completo","Duque de Caxias ","4500","Nao","","nao"
"2023/05/15 2:57:55 PM GMT-3","Gasolina","20,00","Ipiranga","Proximidade;Preço;Programa de Fidelidade;Promoções e programas de descontos via aplicativo;Qualidade do combustível;Conhecimento da marca e/ou posto","tempo de atendimento","boa qualidade e preço baixo","abastece aí","descontos","Sim","Crédito","Não","Não","","","","Feminino","39","bibliotecária","Branca","Pós-Graduação Completo","rio de janeiro","","não","",""
"2023/05/15 5:56:07 PM GMT-3","Gasolina","R$30,00","Ipiranga","Proximidade;Loja de Conveniencia;Promoções e programas de descontos via aplicativo;Qualidade do combustível","Uma bomba na qual o próprio cliente realize o abastecimento.","calibrador","Não","Não","Sim","Débito","Não","Não","","","","Feminino","34","","Preta","Pós-Graduação Completo","Rio de Janeiro","R$8000,00","Não","",""
"2023/05/15 6:08:20 PM GMT-3","Gasolina","R$10, 00","Posto BR","Qualidade do combustível","Agilidade no atendimento","Calibrados de pneus","Não","Não","Não vejo necessidade","Dinheiro","Não","Não","","","","Feminino","43","Assistente Administrativo","Preta","Ensino Superior Completo","Duque de Caxias","2,300","Não","Não","Não"
